,date,fare
0,2016-06-16,404.6
1,2016-06-21,395.12000000000006
2,2016-06-06,347.68000000000006
3,2016-06-03,388.77000000000004
4,2016-04-28,322.03000000000003
5,2016-04-15,254.79
6,2016-05-03,343.87
7,2016-05-02,417.07000000000016
8,2016-06-20,294.62
9,2016-06-04,278.12
10,2016-04-07,371.58000000000004
11,2016-04-12,446.95
12,2016-04-29,299.17
13,2016-05-01,355.02
14,2016-06-07,356.65000000000003
15,2016-04-14,331.84999999999997
16,2016-06-23,356.84000000000003
17,2016-06-24,363.32
18,2016-06-15,255.87000000000006
19,2016-06-05,65.93
