,date,fare
0,2016-06-23,318.93999999999994
1,2016-06-02,223.09
2,2016-06-22,367.9799999999999
3,2016-06-14,309.14000000000004
4,2016-06-10,218.51
5,2016-05-18,177.23
6,2016-05-20,204.64999999999998
7,2016-05-17,164.70999999999998
8,2016-06-01,226.8
9,2016-05-09,46.11
10,2016-06-07,217.03
11,2016-06-08,170.2
12,2016-05-31,260.24
13,2016-06-24,43.599999999999994
14,2016-05-26,37.04
15,2016-06-15,321.87999999999994
16,2016-05-08,83.99
17,2016-06-11,60.95
18,2016-05-27,139.32999999999998
19,2016-06-16,20.25
