,date,fare
0,2016-06-11,273.7
1,2016-06-14,403.83000000000004
2,2016-06-13,457.17
3,2016-06-24,263.47
4,2016-06-07,289.74
5,2016-06-23,382.74999999999994
6,2016-05-09,401.73999999999995
7,2016-05-10,254.58
8,2016-06-16,360.21000000000004
9,2016-05-12,522.24
10,2016-05-28,486.58
11,2016-06-01,326.07000000000005
12,2016-06-08,282.87
13,2016-05-16,270.87
14,2016-06-20,502.4100000000001
15,2016-05-07,240.80000000000004
16,2016-05-30,289.08000000000004
17,2016-06-03,388.89
18,2016-06-26,422.48999999999995
19,2016-06-09,418.40000000000003
20,2016-05-11,485.56
21,2016-05-25,452.19000000000005
22,2016-05-31,310.87
23,2016-06-18,328.63
24,2016-05-27,310.56
25,2016-06-25,363.2299999999999
26,2016-06-06,273.46000000000004
27,2016-05-15,428.21000000000004
28,2016-05-13,355.42
29,2016-06-21,325.34
30,2016-06-22,270.61
31,2016-05-26,377.54999999999995
32,2016-05-14,277.18
33,2016-06-10,336.02000000000004
34,2016-06-17,487.68000000000006
35,2016-06-15,364.89
36,2016-05-08,264.45000000000005
37,2016-06-02,357.7199999999999
38,2016-05-24,198.83
39,2016-06-04,26.68
