,date,fare
0,2016-05-04,201.27999999999997
1,2016-05-29,279.66
2,2016-05-06,326.22
3,2016-06-01,257.74
4,2016-05-10,329.45
5,2016-06-02,418.14000000000004
6,2016-05-09,364.63
7,2016-04-15,121.6
8,2016-06-04,292.19000000000005
9,2016-06-14,374.05000000000007
10,2016-06-05,193.11999999999998
11,2016-05-25,386.20000000000005
12,2016-05-16,439.57
13,2016-05-17,299.65000000000003
14,2016-05-20,414.81999999999994
15,2016-04-23,173.53
16,2016-05-12,272.11
17,2016-05-05,150.20999999999998
18,2016-05-27,266.64
19,2016-04-14,106.25999999999999
20,2016-05-11,179.95999999999998
21,2016-04-30,201.29
22,2016-05-13,251.36999999999998
23,2016-05-19,397.62999999999994
24,2016-06-03,217.82
25,2016-06-07,297.31
26,2016-05-22,306.92
27,2016-06-08,221.33
28,2016-06-13,156.2
29,2016-06-17,125.27999999999999
30,2016-05-18,454.76999999999987
31,2016-04-27,123.82
32,2016-05-23,352.40999999999997
33,2016-05-26,347.7
34,2016-05-03,247.42000000000002
35,2016-06-11,251.60999999999999
36,2016-04-21,143.37
37,2016-04-25,154.62
38,2016-04-22,185.73
39,2016-06-10,245.64999999999998
40,2016-06-12,257.68999999999994
41,2016-04-29,142.0
42,2016-04-16,64.50999999999999
43,2016-05-08,354.43
44,2016-06-09,244.68
45,2016-06-15,51.78
46,2016-05-14,262.05
47,2016-05-01,106.04
48,2016-04-24,17.93
49,2016-05-24,158.5
50,2016-06-18,149.4
51,2016-05-07,174.26999999999998
52,2016-05-31,129.6
53,2016-05-21,225.48000000000002
54,2016-05-28,21.21
55,2016-05-02,82.10000000000001
56,2016-04-18,150.35999999999999
57,2016-04-17,156.2
58,2016-05-30,62.730000000000004
59,2016-04-28,78.74000000000001
60,2016-06-16,136.00999999999996
61,2016-06-06,167.42000000000002
62,2016-04-26,13.33
